Time,Amplitude,Heart_Rate,SPO2,Blood_Pressure,Temperature
0.0,-0.01,151,95.5,132/86,37.1
0.004,-0.02,114,88.3,136/88,36.9
0.008,-0.025,171,89.4,106/86,37.3
0.012,0.0,160,88.9,104/75,36.6
0.016,0.015,120,92.1,139/87,37.4
0.02,-0.03,174,95.2,102/71,37.4
0.024,-0.025,174,89.2,119/83,37.2
0.028,-0.01,123,89.5,137/70,37.0
0.032,-0.045,102,90.6,107/74,37.1
0.036,-0.055,121,95.7,130/85,36.2
0.04,-0.01,152,92.4,105/76,36.4
0.044,0.015,101,88.5,126/74,37.2
0.048,0.045,129,88.3,135/85,37.0
0.052,0.015,137,88.1,122/79,37.0
0.056,0.035,101,90.5,133/84,36.6
0.06,0.02,163,91.6,106/76,36.4
0.064,0.0,159,95.9,112/74,36.1
0.068,-0.005,120,91.6,115/87,36.9
0.072,-0.045,132,92.8,127/76,37.2
0.076,-0.005,175,90.9,138/76,37.2
0.08,-0.035,157,89.6,126/78,36.0
0.084,-0.02,121,89.5,135/76,37.1
0.088,-0.03,148,94.0,129/70,37.2
0.092,-0.01,158,93.3,129/70,37.1
0.096,0.02,141,92.4,115/85,36.5
0.1,0.015,159,93.9,113/82,36.3
0.104,0.035,179,90.8,124/86,36.4
0.108,0.065,114,89.4,101/72,37.4
0.112,0.05,161,91.4,103/75,37.5
0.116,0.09,161,89.1,105/85,36.7
0.12,0.085,146,94.6,114/89,36.9
0.124,0.095,161,91.6,137/76,36.1
0.128,0.055,150,92.3,116/71,36.9
0.132,0.035,154,91.9,127/76,36.6
0.136,0.07,163,90.6,123/76,36.9
0.14,0.08,102,93.7,114/71,36.9
0.144,0.09,150,93.3,102/79,36.2
0.148,0.065,106,91.0,116/73,37.4
0.152,0.04,120,94.6,108/86,36.2
0.156,0.075,172,90.8,101/72,37.1
0.16,0.06,138,91.4,127/78,36.5
0.164,0.06,117,95.4,128/83,37.2
0.168,0.115,103,89.5,131/70,36.8
0.172,0.12,159,90.5,115/88,37.0
0.176,0.095,113,93.2,110/85,36.7
0.18,0.11,108,90.2,127/72,36.8
0.184,0.09,152,94.7,128/79,36.5
0.188,0.085,101,89.4,107/73,36.7
0.192,0.105,159,94.3,123/81,36.5
0.196,0.065,170,93.8,136/89,36.5
0.2,0.035,143,88.4,104/74,36.7
0.204,0.04,107,96.0,125/76,37.0
0.208,0.06,146,93.6,100/78,37.3
0.212,0.055,134,88.5,139/88,37.0
0.216,0.055,177,88.3,105/87,36.7
0.22,0.02,135,92.6,116/84,36.8
0.224,0.0,149,91.5,109/70,36.3
0.228,0.0,103,90.9,127/71,36.3
0.232,-0.005,101,93.6,131/88,36.8
0.236,-0.01,105,89.6,106/85,37.1
0.24,0.03,153,90.6,123/71,37.4
0.244,0.08,103,93.4,126/73,36.6
0.248,0.1,153,90.3,114/78,36.8
0.252,0.05,162,95.3,121/82,36.3
0.256,0.065,117,89.8,106/87,37.5
0.26,0.065,143,94.9,138/77,36.3
0.264,0.09,133,89.4,120/87,36.5
0.268,0.085,173,90.9,124/86,37.4
0.272,0.09,161,91.2,112/70,36.2
0.276,0.115,113,95.0,135/82,36.8
